,y
2013-01-01,1.6243453636632417
2013-01-02,-0.9366254863827237
2013-01-03,-0.11343830407405708
2013-01-04,-0.6258824150621118
2013-01-05,0.8210346677356899
2013-01-06,-2.6382654931387566
2013-01-07,2.1478890329951934
2013-01-08,-1.3512042251675718
2013-01-09,0.05037890246628396
2013-01-10,0.03408165081713238
2013-01-11,1.1450417277128957
2013-01-12,-2.362338916936545
2013-01-13,0.2986239579298531
2013-01-14,-0.38642206274481844
2013-01-15,0.5613666589664874
2013-01-16,-1.3715826592880211
2013-01-17,0.01672761968482331
2013-01-18,-0.9303637278554168
2013-01-19,-0.19559437454297898
2013-01-20,0.3695371925812101
2013-01-21,-1.5567380153347676
2013-01-22,1.3344647876233622
2013-01-23,0.4911336411106571
2013-01-24,0.08100203975933745
2013-01-25,1.2567740160789251
2013-01-26,-0.6647667420606995
2013-01-27,0.2914068731711681
2013-01-28,-0.6256828228748199
2013-01-29,-0.19087417961975356
2013-01-30,0.5539199700404018
2013-01-31,-1.0212550775291214
2013-02-01,-0.2378590689691425
2013-02-02,-0.6300075734534242
2013-02-03,-1.056002925860747
2013-02-04,-0.7206439663547055
2013-02-05,-0.2835580135115029
2013-02-06,-1.602796441339923
2013-02-07,0.1364243656649709
2013-02-08,1.1974932120098045
2013-02-09,-0.08970123062362778
2013-02-10,-0.14299297149572615
2013-02-11,-0.5030698780477085
2013-02-12,-0.5866855558163913
2013-02-13,1.7144216665130991
2013-02-14,-0.5537445334585759
2013-02-15,-0.5407337597903171
2013-02-16,0.7315183959214548
2013-02-17,1.8418622186751117
2013-02-18,-0.3416478153473164
2013-02-19,1.1348186049396576
2013-02-20,0.7127203500706377
2013-02-21,-0.24655953108946652
2013-02-22,-0.5785095456870064
2013-02-23,0.10006598122836186
2013-02-24,-0.2837545869923199
2013-02-25,0.4673763350349695
2013-02-26,0.6830029669933873
2013-02-27,0.7560562447498425
2013-02-28,0.35867581924734415
2013-03-01,1.1914446876671696
2013-03-02,-0.6022437842367327
2013-03-03,1.7648548424162476
2013-03-04,0.5505395075424515
2013-03-05,-0.22461999726164344
2013-03-06,1.1950483515755121
2013-03-07,0.017615530985653133
2013-03-08,1.3276861255929184
2013-03-09,1.6751342244158467
2013-03-10,2.167965668462366
2013-03-11,-1.1020397080408046
2013-03-12,-0.19923547457000135
