,Y
2013-01-01,1508.5487000582973
2013-01-02,-130.9341982196393
2013-01-03,499.4664256669123
2013-01-04,1125.07472633305
2013-01-05,-221.10135603930868
2013-01-06,-1368.5711066371032
2013-01-07,-2437.1880090790028
2013-01-08,-1891.2955835226742
2013-01-09,-4006.090031627133
2013-01-10,-1749.4307598882606
2013-01-11,-1105.3064998319628
2013-01-12,-1172.1489015586274
2013-01-13,-42.867527641331755
2013-01-14,-1682.1705716782062
2013-01-15,-1049.6287876893896
2013-01-16,-425.50481205533106
2013-01-17,-1771.960420319982
2013-01-18,-2922.003021570496
2013-01-19,-3986.907313579507
2013-01-20,-3441.53585524661
2013-01-21,-5556.8525922738145
2013-01-22,-3302.6594479045734
2013-01-23,-2655.922049517705
2013-01-24,-2721.8079623902704
2013-01-25,-1595.525014869444
2013-01-26,-3233.2037266751063
2013-01-27,-2603.0337752128507
2013-01-28,-1977.376762319546
2013-01-29,-3325.219010255095
2013-01-30,-4472.5159006388885
2013-01-31,-5540.409281634384
2013-02-01,-4993.816859613778
2013-02-02,-7107.269140569723
2013-02-03,-4852.9002851913365
2013-02-04,-4205.738702322664
2013-02-05,-4274.678774338787
2013-02-06,-3146.772270959121
2013-02-07,-4785.397469877182
2013-02-08,-4155.309925132953
2013-02-09,-3529.8161906136866
2013-02-10,-4877.847502900813
2013-02-11,-6026.389057651382
2013-02-12,-7093.824715963305
2013-02-13,-6545.240392865873
2013-02-14,-8659.770988777595
2013-02-15,-6405.543800377649
2013-02-16,-5760.670575212493
2013-02-17,-5825.688583383019
2013-02-18,-4696.405733977468
2013-02-19,-6337.849436161835
2013-02-20,-5705.529465420458
2013-02-21,-5082.587427228332
2013-02-22,-6430.089643978181
2013-02-23,-7576.891027486929
2013-02-24,-8642.233803850617
2013-02-25,-8095.8481269394415
2013-02-26,-10210.073063070386
2013-02-27,-7954.484549460875
2013-02-28,-7309.496837481803
2013-03-01,-7375.266711580391
