Date,Adj Close
1997-05-15,1.958333
1997-05-16,1.729167
1997-05-19,1.708333
1997-05-20,1.635417
1997-05-21,1.427083
1997-05-22,1.395833
1997-05-23,1.5
1997-05-27,1.583333
1997-05-28,1.53125
1997-05-29,1.505208
1997-05-30,1.5
1997-06-02,1.510417
1997-06-03,1.479167
1997-06-04,1.416667
1997-06-05,1.541667
1997-06-06,1.65625
1997-06-09,1.6875
1997-06-10,1.583333
1997-06-11,1.541667
1997-06-12,1.604167
1997-06-13,1.583333
1997-06-16,1.572917
1997-06-17,1.505208
1997-06-18,1.510417
1997-06-19,1.510417
1997-06-20,1.526042
1997-06-23,1.5
1997-06-24,1.510417
1997-06-25,1.510417
1997-06-26,1.510417
1997-06-27,1.489583
1997-06-30,1.541667
1997-07-01,1.515625
1997-07-02,1.588542
1997-07-03,1.911458
1997-07-07,2.0
1997-07-08,2.302083
1997-07-09,2.322917
1997-07-10,2.5625
1997-07-11,2.291667
1997-07-14,2.135417
1997-07-15,2.4375
1997-07-16,2.333333
1997-07-17,2.21875
1997-07-18,2.15625
1997-07-21,2.182292
1997-07-22,2.135417
1997-07-23,2.291667
1997-07-24,2.260417
1997-07-25,2.229167
1997-07-28,2.322917
1997-07-29,2.479167
1997-07-30,2.447917
1997-07-31,2.395833
1997-08-01,2.416667
1997-08-04,2.3125
1997-08-05,2.208333
1997-08-06,2.25
1997-08-07,2.177083
1997-08-08,2.291667
1997-08-11,2.328125
1997-08-12,2.197917
1997-08-13,2.197917
1997-08-14,2.15625
1997-08-15,2.114583
1997-08-18,2.041667
1997-08-19,2.166667
1997-08-20,2.166667
1997-08-21,2.114583
1997-08-22,2.125
1997-08-25,2.21875
1997-08-26,2.34375
1997-08-27,2.317708
1997-08-28,2.375
1997-08-29,2.338542
1997-09-02,2.354167
1997-09-03,2.333333
1997-09-04,2.552083
1997-09-05,2.5
1997-09-08,3.0
1997-09-09,3.239583
1997-09-10,3.302083
1997-09-11,3.15625
1997-09-12,3.6875
1997-09-15,3.09375
1997-09-16,3.354167
1997-09-17,3.40625
1997-09-18,3.291667
1997-09-19,3.947917
1997-09-22,4.5
1997-09-23,4.625
1997-09-24,4.375
1997-09-25,4.078125
1997-09-26,4.1666669999999995
1997-09-29,4.0416669999999995
1997-09-30,4.3385419999999995
1997-10-01,4.0208330000000005
1997-10-02,4.0104169999999995
1997-10-03,4.015625
1997-10-06,4.125
1997-10-07,4.0572919999999995
1997-10-08,4.0052080000000005
1997-10-09,3.75
1997-10-10,3.901042
1997-10-13,4.0
1997-10-14,3.979167
1997-10-15,3.921875
1997-10-16,3.625
1997-10-17,3.625
