Date,Close
1991-01-02,0.733
1991-01-03,0.7024
1991-01-04,0.6829999999999999
1991-01-07,0.7617
1991-01-08,0.743
1991-01-09,0.7709
1991-01-10,0.7708
1991-01-11,0.7736
1991-01-14,0.8898
1991-01-15,0.847
1991-01-16,0.9159999999999999
1991-01-17,0.6196
1991-01-18,0.6152
1991-01-21,0.6581
1991-01-22,0.6846
1991-01-23,0.7015
1991-01-24,0.6982
1991-01-25,0.6937
1991-01-28,0.6828
1991-01-29,0.7043
1991-01-30,0.7019
1991-01-31,0.7125
1991-02-01,0.622
1991-02-04,0.6172
1991-02-05,0.6306
1991-02-06,0.6635
1991-02-07,0.6552
1991-02-08,0.6722
1991-02-11,0.711
1991-02-12,0.708
1991-02-13,0.6711
1991-02-14,0.6595
1991-02-15,0.6232
1991-02-19,0.6063
1991-02-20,0.6472
1991-02-21,0.614
1991-02-22,0.6014
1991-02-25,0.6195
1991-02-26,0.6373
1991-02-27,0.6441
1991-02-28,0.6536
1991-03-01,0.5457
1991-03-04,0.5613
1991-03-05,0.5709
1991-03-06,0.5608
1991-03-07,0.5555
1991-03-08,0.5539
1991-03-11,0.5443
1991-03-12,0.5579999999999999
1991-03-13,0.5681
1991-03-14,0.5653
1991-03-15,0.5566
1991-03-18,0.5579
1991-03-19,0.5772
1991-03-20,0.5767
1991-03-21,0.5846
1991-03-22,0.5825
1991-03-25,0.5646
1991-03-26,0.568
1991-03-27,0.5661
1991-03-28,0.5689
1991-04-01,0.5349
1991-04-02,0.5423
1991-04-03,0.5328
1991-04-04,0.5424
1991-04-05,0.5422
1991-04-08,0.5454
1991-04-09,0.5455
1991-04-10,0.5602
1991-04-11,0.5539999999999999
1991-04-12,0.5605
1991-04-15,0.5699
1991-04-16,0.5563
1991-04-17,0.5613
1991-04-18,0.5575
1991-04-19,0.5606
1991-04-22,0.5723
1991-04-23,0.5697
1991-04-24,0.5647
1991-04-25,0.5594
1991-04-26,0.5587
1991-04-29,0.5529
1991-04-30,0.5357
1991-05-01,0.5427
1991-05-02,0.5388
1991-05-03,0.5473
1991-05-06,0.5561
1991-05-07,0.5576
1991-05-08,0.5566
1991-05-09,0.5608
1991-05-10,0.5513
1991-05-13,0.5453
1991-05-14,0.5475
1991-05-15,0.5552
1991-05-16,0.5575
1991-05-17,0.5591
1991-05-20,0.5605
1991-05-21,0.5608
1991-05-22,0.5603
1991-05-23,0.5609
1991-05-24,0.5553
1991-05-28,0.5581
1991-05-29,0.5568
1991-05-30,0.5670000000000001
1991-05-31,0.5648
1991-06-03,0.5637
1991-06-04,0.5599
1991-06-05,0.5428
1991-06-06,0.542
1991-06-07,0.5379
1991-06-10,0.5256
1991-06-11,0.5319
1991-06-12,0.541
1991-06-13,0.5344
1991-06-14,0.5368
1991-06-17,0.5377
1991-06-18,0.5389
1991-06-19,0.5363
1991-06-20,0.5451
1991-06-21,0.5433
1991-06-24,0.5376
1991-06-25,0.5365
1991-06-26,0.5371
1991-06-27,0.544
1991-06-28,0.5529999999999999
1991-07-01,0.5609
1991-07-02,0.5648
1991-07-03,0.5613
1991-07-05,0.5674
1991-07-08,0.5739
1991-07-09,0.5731
1991-07-10,0.5838
1991-07-11,0.5820000000000001
1991-07-12,0.6001
1991-07-15,0.5906
1991-07-16,0.5923
1991-07-17,0.5983
1991-07-18,0.5894
1991-07-19,0.5944
1991-07-22,0.5916
1991-07-23,0.5768
1991-07-24,0.5809
1991-07-25,0.5841
1991-07-26,0.5877
1991-07-29,0.5873
1991-07-30,0.5896
1991-07-31,0.602
1991-08-01,0.5951
1991-08-02,0.598
1991-08-05,0.6006
1991-08-06,0.5908
1991-08-07,0.5899
1991-08-08,0.5953
1991-08-09,0.6
1991-08-12,0.6012
1991-08-13,0.5977
1991-08-14,0.5945
1991-08-15,0.6041
1991-08-16,0.6067
1991-08-19,0.6496
1991-08-20,0.6632
1991-08-21,0.618
1991-08-22,0.6222
1991-08-23,0.62
1991-08-26,0.6223
1991-08-27,0.622
1991-08-28,0.6224
1991-08-29,0.6319
1991-08-30,0.6412
1991-09-03,0.6457
1991-09-04,0.6296
1991-09-05,0.6259
1991-09-06,0.6228
1991-09-09,0.6157
1991-09-10,0.6135
1991-09-11,0.6157
1991-09-12,0.6117
1991-09-13,0.6168
1991-09-16,0.6206
1991-09-17,0.6111
1991-09-18,0.6185
1991-09-19,0.6185
1991-09-20,0.6259
1991-09-23,0.638
1991-09-24,0.6369
1991-09-25,0.636
1991-09-26,0.6301
1991-09-27,0.6353
1991-09-30,0.6368
1991-10-01,0.6421
1991-10-02,0.6459999999999999
1991-10-03,0.6561
1991-10-04,0.6556
1991-10-07,0.6685
1991-10-08,0.6706
1991-10-09,0.6805
1991-10-10,0.6745
1991-10-11,0.6754
1991-10-14,0.6908
1991-10-15,0.6917
1991-10-16,0.6844
1991-10-17,0.6940000000000001
1991-10-18,0.6981
1991-10-21,0.7018
1991-10-22,0.6946
1991-10-23,0.6815
1991-10-24,0.6928
1991-10-25,0.6843
1991-10-28,0.6824
1991-10-29,0.6843
1991-10-30,0.6836
1991-10-31,0.6857
1991-11-01,0.7068
1991-11-04,0.7168
1991-11-05,0.7184
1991-11-06,0.7102
1991-11-07,0.7032
1991-11-08,0.6957
1991-11-11,0.6757
1991-11-12,0.6656
1991-11-13,0.659
1991-11-14,0.657
1991-11-15,0.6748
1991-11-18,0.6539
1991-11-19,0.6443
1991-11-20,0.6373
1991-11-21,0.6356
1991-11-22,0.6206
1991-11-25,0.6247
1991-11-26,0.6169
1991-11-27,0.6182
1991-11-29,0.6172
1991-12-02,0.6151
1991-12-03,0.5947
1991-12-04,0.6033
1991-12-05,0.593
1991-12-06,0.5714
1991-12-09,0.5444
1991-12-10,0.5498
1991-12-11,0.5578
1991-12-12,0.5655
1991-12-13,0.5718
1991-12-16,0.5684
1991-12-17,0.5583
1991-12-18,0.5472
1991-12-19,0.5346
1991-12-20,0.5108
1991-12-23,0.5184
1991-12-24,0.5179
1991-12-26,0.5032
1991-12-27,0.5038
1991-12-30,0.4808
1991-12-31,0.4829
1992-01-02,0.5156
1992-01-03,0.5214
1992-01-06,0.5187
1992-01-07,0.5088
1992-01-08,0.4936
1992-01-09,0.4985
1992-01-10,0.5154
1992-01-13,0.546
1992-01-14,0.5307
1992-01-15,0.5405
1992-01-16,0.5487
1992-01-17,0.5494
1992-01-20,0.5449
1992-01-21,0.5328
1992-01-22,0.5287
1992-01-23,0.5316
1992-01-24,0.547
1992-01-27,0.5539
1992-01-28,0.541
1992-01-29,0.5399
1992-01-30,0.5214
1992-01-31,0.5285
1992-02-03,0.5353
1992-02-04,0.5476
1992-02-05,0.5539
1992-02-06,0.5525
1992-02-07,0.5642
1992-02-10,0.5659
1992-02-11,0.552
1992-02-12,0.5537
1992-02-13,0.5569
1992-02-14,0.5449
1992-02-18,0.5132
1992-02-19,0.525
1992-02-20,0.5284
1992-02-21,0.5271
1992-02-24,0.5158
1992-02-25,0.5135
1992-02-26,0.5087
1992-02-27,0.5124
1992-02-28,0.5152
1992-03-02,0.502
1992-03-03,0.5092
1992-03-04,0.5142
1992-03-05,0.5152
1992-03-06,0.5103
1992-03-09,0.5118
1992-03-10,0.5183
1992-03-11,0.513
1992-03-12,0.5218
1992-03-13,0.5336
1992-03-16,0.5365
1992-03-17,0.5413
1992-03-18,0.5323
1992-03-19,0.5431
1992-03-20,0.5329
1992-03-23,0.5354
1992-03-24,0.5321
1992-03-25,0.5279
1992-03-26,0.5281
1992-03-27,0.5221
1992-03-30,0.5306
1992-03-31,0.5373
1992-04-01,0.5445
1992-04-02,0.5428
1992-04-03,0.5568
1992-04-06,0.5596
1992-04-07,0.5545
1992-04-08,0.5626
1992-04-09,0.5552
1992-04-10,0.5614
1992-04-13,0.5548
1992-04-14,0.5508
1992-04-15,0.5559
1992-04-16,0.5645
1992-04-20,0.5667
1992-04-21,0.5736
1992-04-22,0.5578
1992-04-23,0.5541
1992-04-24,0.5529
1992-04-27,0.5529999999999999
1992-04-28,0.5612
1992-04-29,0.5697
1992-04-30,0.5785
1992-05-01,0.5670000000000001
1992-05-04,0.5756
1992-05-05,0.5660000000000001
1992-05-06,0.5707
1992-05-07,0.5741
1992-05-08,0.5767
1992-05-11,0.5832
1992-05-12,0.5752
1992-05-13,0.5721
1992-05-14,0.5676
1992-05-15,0.5718
1992-05-18,0.5711
1992-05-19,0.5615
1992-05-20,0.552
1992-05-21,0.5608
1992-05-22,0.5629
1992-05-26,0.5963
1992-05-27,0.5931
1992-05-28,0.5996
1992-05-29,0.605
1992-06-01,0.6025
1992-06-02,0.6038
1992-06-03,0.6081
1992-06-04,0.6087
1992-06-05,0.6185
1992-06-08,0.6131
1992-06-09,0.6056
1992-06-10,0.6147
1992-06-11,0.6088
1992-06-12,0.6115
1992-06-15,0.6104
1992-06-16,0.608
1992-06-17,0.6099
1992-06-18,0.6121
1992-06-19,0.6146
