"A","B","C","D","Left Skew","Multimodal","IQ20","IQ100"
48.91692627002304,67.22378462709426,55.91722454370563,45.56147084235743,23.1,37.632318445803534,120.45995060622951,93.0413676609804
47.69272613246292,68.1757511875116,30.174288172073528,47.82578299310127,18.2,49.24400070039043,107.41886375965973,93.80615767469726
48.62957949686339,61.75345147206508,43.64158288798818,59.699370101375386,14.600000000000001,37.780203122289805,95.00631199107342,135.33968111031552
58.544034203196134,69.78350682691783,53.73874454387965,45.704637709840554,21.2,56.827208051746815,96.52219234369116,100.77263151643969
44.82133762227393,70.7301531265549,67.82965865186014,44.254419111532485,24.5,54.51373105174257,108.8785628072259,91.60005295170939
47.693503759722084,63.00234503261082,58.79638620624986,58.919273096296365,24.9,47.876070075208354,108.48880053739943,105.96992055192821
43.954434124524184,54.45145110557521,63.02552416200736,44.08632902311514,27.4,48.75580259071664,109.34414828267234,93.86610357323849
52.84905451709292,67.45024761673653,45.85718059913754,71.2,21.7,42.03143169950377,133.44831201801213,104.00672932220253
47.934716061090135,74.69042258837595,31.75870810804747,47.967767958431565,24.2,58.907958004844716,84.48859792770178,110.12319410781731
63.531483481187685,75.70479869411162,23.780606751728975,48.368596820544134,20.6,58.405533675160115,83.67276315767975,128.92425455036945
49.80409903425121,62.66715595867991,56.91129066839157,49.70514155634195,13.299999999999997,44.5327297467004,80.06400460297984,105.92653775600527
52.18302421949007,72.93363402836697,71.12276718385674,53.59588674350537,19.1,50.77699653045245,104.1376034637239,130.3640239257335
57.12192571417685,67.44786668163442,72.07142186438905,49.07043934128124,13.5,52.09775271450724,107.84534647864825,78.98145072248079
58.55795680522031,66.14472375834335,24.9178412044595,51.589841663834996,23.6,54.350522557459094,107.07920062383597,114.82575430639561
49.50904216673508,62.18142606263024,63.57365015288133,44.163543104253925,25.2,37.04629684457656,83.57814631459395,136.08184544288244
50.2508653817044,59.39578026446824,90.09525709971052,47.12019847086525,12,40.33327251896943,100.27592386942835,86.80008011936123
41.22497151028554,64.45195624800732,51.63517141040554,45.74516024631136,15.7,55.06650872070288,94.07930511979463,105.35216441749657
